,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
178,mathbaria,22.2876,89.9593,26.64,89,96,3.01,BD,1626215536
179,east london,-33.0153,27.9116,11.9,57,78,9.18,ZA,1626215614
180,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
181,prince rupert,54.3161,-130.3201,14.83,93,90,3.6,CA,1626216008
182,hofn,64.2539,-15.2082,11.6,81,85,6.6,IS,1626216008
183,carnarvon,-24.8667,113.6333,15.04,64,75,1.54,AU,1626215518
184,bredasdorp,-34.5322,20.0403,6.62,81,34,1.54,ZA,1626215508
185,ximei,24.9639,118.3794,27.85,87,84,0.64,CN,1626215538
186,broken hill,-31.95,141.4333,16.84,36,75,11.32,AU,1626216009
187,nnewi,6.0199,6.9148,22.6,95,100,1.82,NG,1626215538
188,aksay,47.26,39.87,24.03,37,0,3.58,RU,1626215539
189,salinas,36.6777,-121.6555,26.4,70,40,6.69,US,1626215206
190,lisakovsk,52.5369,62.4936,10.49,69,7,4.99,KZ,1626216010
191,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
192,qaanaaq,77.484,-69.3632,5.45,73,100,4.26,GL,1626215498
193,adre,13.4667,22.2,25.02,62,100,3.62,TD,1626215539
194,bethel,41.3712,-73.414,22.06,91,90,0.45,US,1626215540
195,vytegra,61.0064,36.4481,18.53,69,100,0.76,RU,1626216010
196,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
197,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1626215512
198,krasnoarmeysk,51.0239,45.6969,16.71,65,28,3.62,RU,1626215541
199,kapaa,22.0752,-159.319,29.18,74,90,1.34,US,1626215536
200,khatanga,71.9667,102.5,4.55,76,100,7.23,RU,1626215541
201,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
202,hithadhoo,-0.6,73.0833,27.5,73,9,1.83,MV,1626215526
203,husavik,66.0449,-17.3389,14.95,78,78,0.54,IS,1626215542
204,thompson,55.7435,-97.8558,23.09,35,40,3.09,CA,1626215409
205,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
206,quatre cocos,-20.2078,57.7625,21.06,68,25,6.83,MU,1626216012
207,aquiraz,-3.9014,-38.3911,27.05,84,99,4.36,BR,1626216012
208,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
209,dubbo,-32.25,148.6167,9.07,81,75,1.03,AU,1626216013
210,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
211,visnes,59.3556,5.2242,19.76,90,100,7.48,NO,1626216013
212,gurupi,-11.7292,-49.0686,24.79,31,0,2.45,BR,1626215544
213,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
214,rangapara,26.8167,92.65,24.59,98,100,1.2,IN,1626215544
215,atambua,-9.1061,124.8925,21.78,81,70,2.23,ID,1626215545
216,yellowknife,62.456,-114.3525,24.05,40,20,7.72,CA,1626215545
217,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
218,dikson,73.5069,80.5464,1.73,91,100,6.83,RU,1626215525
219,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
220,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
221,georgetown,5.4112,100.3354,25.5,91,20,0.89,MY,1626215601
222,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215516
223,igrim,63.1906,64.4162,5.81,68,4,1.61,RU,1626215546
224,bathsheba,13.2167,-59.5167,27.34,78,40,7.72,BB,1626216015
225,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215547
226,airai,-8.9266,125.4092,14.49,77,87,1.47,TL,1626215547
227,hamilton,39.1834,-84.5333,27.52,84,75,0.45,US,1626215318
228,port alfred,-33.5906,26.891,11.17,69,100,8.9,ZA,1626215530
229,iqaluit,63.7506,-68.5145,11.85,87,75,2.68,CA,1626215388
230,carnarvon,-24.8667,113.6333,15.04,64,75,1.54,AU,1626215518
231,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
232,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
233,riyadh,24.6877,46.7219,34.08,15,79,1.31,SA,1626215835
234,isilkul,54.9109,71.2728,10.12,96,100,7.57,RU,1626215548
235,jamestown,42.097,-79.2353,21.77,94,90,4.12,US,1626215383
236,abu samrah,35.3029,37.1841,24.81,54,0,4.55,SY,1626216016
237,gashua,12.871,11.0482,30.6,47,12,6.29,NG,1626216016
238,grand gaube,-20.0064,57.6608,21.22,66,16,8.81,MU,1626215489
239,mar del plata,-38.0023,-57.5575,10.07,70,0,0.0,AR,1626215549
240,vaini,-21.2,-175.2,26.09,89,75,3.6,TO,1626215549
241,veseloyarsk,51.2836,81.1056,18.95,68,97,8.13,RU,1626216017
242,chuy,-33.6971,-53.4616,13.06,91,100,4.76,UY,1626215506
243,hobart,-42.8794,147.3294,8.48,93,75,1.54,AU,1626215458
244,bredasdorp,-34.5322,20.0403,6.62,81,34,1.54,ZA,1626215508
245,nanortalik,60.1432,-45.2371,6.84,83,35,0.86,GL,1626215550
246,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
247,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
248,kaitangata,-46.2817,169.8464,4.96,71,72,2.64,NZ,1626215523
249,bryan,30.6744,-96.37,32.82,59,40,3.6,US,1626215551
250,bethel,41.3712,-73.414,22.06,91,90,0.45,US,1626215727
251,kloulklubed,7.0419,134.2556,24.28,71,99,2.55,PW,1626216018
252,hermanus,-34.4187,19.2345,9.39,73,29,3.91,ZA,1626215530
253,bejar,40.3864,-5.7634,13.08,44,12,2.82,ES,1626215552
254,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
255,albany,42.6001,-73.9662,25.1,86,97,0.45,US,1626215249
256,port alfred,-33.5906,26.891,11.17,69,100,8.9,ZA,1626215530
257,ribeira grande,38.5167,-28.7,21.24,81,54,6.43,PT,1626215502
258,sao felix do xingu,-6.6447,-51.995,27.23,41,61,0.86,BR,1626215553
259,comodoro rivadavia,-45.8667,-67.5,8.92,76,0,1.03,AR,1626216020
260,ribeira grande,38.5167,-28.7,21.24,81,54,6.43,PT,1626215502
261,neuquen,-38.9516,-68.0591,7.94,61,0,0.0,AR,1626215554
262,usevya,-7.1,31.2333,19.65,51,1,1.17,TZ,1626216020
263,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215526
264,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215547
265,fare,-16.7,-151.0167,26.69,71,0,8.17,PF,1626215555
266,tiksi,71.6872,128.8694,11.76,91,99,4.41,RU,1626215580
267,mehamn,71.0357,27.8492,10.83,93,98,7.54,NO,1626216021
268,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215490
269,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
270,talnakh,69.4865,88.3972,5.04,66,92,2.05,RU,1626215668
271,plastun,44.7561,136.2939,22.68,76,23,1.87,RU,1626215556
272,katsuura,35.1333,140.3,25.66,88,55,3.89,JP,1626215556
273,chimbote,-9.0853,-78.5783,19.45,76,70,5.8,PE,1626215333
274,glendive,47.1053,-104.7125,29.35,26,1,4.63,US,1626215557
275,tasiilaq,65.6145,-37.6368,7.09,94,83,2.37,GL,1626215557
276,yellowknife,62.456,-114.3525,24.05,40,20,7.72,CA,1626215511
277,sinnamary,5.3833,-52.95,25.82,87,73,4.04,GF,1626216022
278,esperance,-33.8667,121.9,11.91,68,25,10.55,AU,1626215558
279,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
280,clyde river,70.4692,-68.5914,8.13,87,75,4.63,CA,1626216023
281,albany,42.6001,-73.9662,25.1,87,94,1.79,US,1626215444
282,upernavik,72.7868,-56.1549,4.79,97,100,2.52,GL,1626215508
283,provideniya,64.3833,-173.3,8.06,81,0,5.0,RU,1626215600
284,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
285,plouzane,48.3833,-4.6167,15.18,94,90,5.66,FR,1626215559
286,hobart,-42.8794,147.3294,9.51,92,75,1.54,AU,1626215514
287,coihaique,-45.5752,-72.0662,5.34,87,90,2.06,CL,1626215514
288,palu,-0.8917,119.8707,24.48,98,100,0.7,ID,1626215560
289,kodiak,57.79,-152.4072,13.73,82,75,5.14,US,1626215500
290,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
291,cherskiy,68.75,161.3,5.96,78,100,1.5,RU,1626215528
292,dikson,73.5069,80.5464,1.73,91,100,6.83,RU,1626215525
293,mangrol,21.1167,70.1167,28.43,78,100,5.0,IN,1626216024
294,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
295,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
296,requena,39.4883,-1.1004,18.96,55,68,1.49,ES,1626216025
297,mahebourg,-20.4081,57.7,21.16,60,40,3.6,MU,1626215562
298,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
299,bodden town,19.2833,-81.25,31.67,74,20,2.24,KY,1626215562
300,hermanus,-34.4187,19.2345,9.39,73,29,3.91,ZA,1626215592
301,vaini,-21.2,-175.2,26.09,89,75,3.6,TO,1626215499
302,santa cruz,-17.8,-63.1667,27.03,61,40,6.69,BO,1626216026
303,dikson,73.5069,80.5464,1.73,91,100,6.83,RU,1626215525
304,saint-augustin,51.226,-58.6502,15.96,65,38,6.92,CA,1626215685
305,ancud,-41.8697,-73.8203,8.74,81,100,3.31,CL,1626215665
306,laguna,38.421,-121.4238,41.25,37,1,2.68,US,1626216027
307,hasaki,35.7333,140.8333,24.05,87,98,5.25,JP,1626215564
308,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
309,guerrero negro,27.9769,-114.0611,26.77,52,34,6.1,MX,1626215564
310,lorengau,-2.0226,147.2712,28.91,76,68,5.37,PG,1626215652
311,santa marta,11.2408,-74.199,28.23,80,29,6.62,CO,1626216016
312,canavieiras,-15.675,-38.9472,21.68,87,0,2.26,BR,1626215482
313,lavrentiya,65.5833,-171.0,9.0,84,89,3.0,RU,1626215508
314,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
315,nhulunbuy,-12.2333,136.7667,25.34,88,40,4.63,AU,1626216028
316,kirakira,-10.4544,161.9205,28.59,76,53,5.37,SB,1626215566
317,lagoa,39.05,-27.9833,20.31,81,87,7.15,PT,1626215566
318,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
319,kodiak,57.79,-152.4072,13.73,82,75,5.14,US,1626215500
320,magadan,59.5667,150.8,12.42,90,100,2.02,RU,1626216028
321,karpathos,35.507,27.2132,24.72,81,0,6.69,GR,1626216029
322,flinders,-34.5833,150.8552,14.6,65,100,2.97,AU,1626215567
323,axim,4.8699,-2.2405,25.49,79,100,4.62,GH,1626216029
324,uruzgan,32.8333,66.0,24.03,22,1,1.49,AF,1626216029
325,lluta,-16.0147,-72.0142,13.15,29,0,1.02,PE,1626216030
326,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215513
327,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626216030
328,asau,46.4333,26.4,19.51,99,16,1.31,RO,1626216031
329,dingle,10.9995,122.6711,26.05,87,100,1.36,PH,1626216031
330,kota belud,6.351,116.4305,23.92,89,100,1.42,MY,1626215570
331,nikolskoye,59.7035,30.7861,21.94,92,100,0.23,RU,1626215529
332,hobart,-42.8794,147.3294,9.51,92,75,1.54,AU,1626215836
